"EmployeeID","FirstName","LastName","Email","Phone","JobTitle"
"55","Christopher","Knight","erik45@hotmail.com","(587)649-1369x1829","Seller"
"56","Bradley","Solis","mary56@hotmail.com","914.176.0327x2822","Seller"
"57","Betty","Fisher","fordchelsea@gmail.com","921-755-6042","Seller"
"58","Rebecca","Jenkins","vmcgee@yahoo.com","(654)019-5355x34282","Seller"
"59","Brad","Evans","jefferytyler@hotmail.com","001-716-224-4045","Seller"
"60","Karen","Stewart","ldavidson@gmail.com","516.614.1150x418","Seller"
"61","Katherine","Sullivan","hansensandy@hotmail.com","684-810-6357x3167","Junior seller"
"62","Dawn","Moss","tiffany35@yahoo.com","100-009-8132x49543","Junior seller"
"63","Brian","Berg","abigailperez@yahoo.com","+1-266-457-3261x67955","Seller"
"64","Morgan","Diaz","blevinseric@gmail.com","(244)170-7249","Seller"
"65","Ronald","Obrien","sullivandarlene@gmail.com","(070)724-7639","Seller"
"66","Teresa","Day","brendagrimes@hotmail.com","001-229-077-5077x13583","Seller"
"67","Gabriel","Garcia","cmcintyre@gmail.com","(726)517-2273","Manager"
"68","April","Henderson","ugonzales@gmail.com","9589040115","Manager"
"69","Cesar","Williams","robertcobb@gmail.com","4369184007","Manager"
"70","Isabella","King","osanchez@yahoo.com","+1-612-408-3547x93222","Junior seller"
"71","Jennifer","Curtis","yjones@hotmail.com","476-980-5250x81437","Manager"
"72","Richard","Smith","patriciawhitney@hotmail.com","969-485-7641x034","Seller"
"73","Ryan","Ray","smithrobert@hotmail.com","201.044.9147","Junior seller"
"74","Kaylee","Choi","matthew84@yahoo.com","001-468-880-9733","Junior seller"
"75","Joseph","Ortiz","nelsonmichael@gmail.com","372-783-2808","Manager"
"76","Donna","Nguyen","john29@yahoo.com","001-697-734-3048x991","Manager"
"77","Darren","Wright","brooke47@yahoo.com","345-307-7400x1846","Junior seller"
"78","Brian","Green","johnsonjennifer@hotmail.com","001-976-875-5530","Junior seller"
"79","Kayla","Phelps","wongpaula@hotmail.com","(383)837-8219x86245","Junior seller"
"80","Janet","Wise","larrycarter@hotmail.com","367.513.2302x882","Junior seller"
"81","Douglas","Johnson","karen04@gmail.com","659-989-4872x309","Junior seller"
"82","Caroline","Bates","sabrina27@hotmail.com","001-760-008-0860x9824","Manager"
"83","Steven","Deleon","kennedybryan@yahoo.com","(752)003-6152x533","Seller"
"84","Caroline","Schneider","pwilkinson@gmail.com","+1-535-328-0958x019","Manager"
"85","Rebecca","Garcia","julie24@hotmail.com","001-351-375-1007","Seller"
"86","Kimberly","Porter","amanda07@hotmail.com","+1-911-586-6378x2887","Junior seller"
"87","Robert","Lopez","bowerspaula@yahoo.com","001-645-467-8213x2032","Junior seller"
"88","Jennifer","Mendoza","david28@hotmail.com","839.985.6244x11680","Manager"
"89","Ashlee","Liu","mckenziehess@yahoo.com","+1-008-110-1049x482","Manager"
"90","Sydney","Hancock","johnsonmatthew@gmail.com","6882205523","Junior seller"
"91","Michelle","Martinez","victoria96@gmail.com","(212)378-0810","Junior seller"
"92","Scott","Nguyen","ian30@yahoo.com","001-320-582-3962x235","Seller"
"93","Raymond","Mcmahon","jenniferlee@hotmail.com","334-577-5479x0665","Junior seller"
"94","Marisa","Whitehead","hhammond@hotmail.com","(118)256-7414x118","Seller"
"95","Krystal","Marshall","millerdana@hotmail.com","497.483.8768","Seller"
"96","Carlos","Benjamin","morgan56@gmail.com","+1-397-134-5802","Seller"
"97","Vanessa","Walker","brian48@hotmail.com","(237)116-2688","Manager"
"98","Jeffrey","Collins","davidcarter@hotmail.com","001-579-254-5500x654","Junior seller"
"99","Christopher","Cruz","cannonrick@yahoo.com","001-920-725-9481","Seller"
